# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000670139999999994
# total_verified=274510000000000
# total_total=274510000000000
# total_tries=4198679088996
# total_qhot=274363193529897
# total_misses=0
# elapsed_sec=300884.307460
N,p,q,source
4000669940000000868,1367,4000669939999999501,QHOT
4000669940000000870,367,4000669940000000503,QHOT
4000669940000000872,1019,4000669939999999853,QHOT
4000669940000000874,127,4000669940000000747,QHOT
4000669940000000876,373,4000669940000000503,QHOT
4000669940000000878,131,4000669940000000747,QHOT
4000669940000000880,1193,4000669939999999687,QHOT
4000669940000000882,1381,4000669939999999501,QHOT
4000669940000000884,137,4000669940000000747,QHOT
4000669940000000886,139,4000669940000000747,QHOT
4000669940000000888,1201,4000669939999999687,QHOT
4000669940000000890,1373,4000669939999999517,QHOT
4000669940000000892,389,4000669940000000503,QHOT
4000669940000000894,661,4000669940000000233,QHOT
4000669940000000896,149,4000669940000000747,QHOT
4000669940000000898,151,4000669940000000747,QHOT
4000669940000000900,1399,4000669939999999501,QHOT
4000669940000000902,1049,4000669939999999853,QHOT
4000669940000000904,157,4000669940000000747,QHOT
4000669940000000906,673,4000669940000000233,QHOT
4000669940000000908,827,4000669940000000081,QHOT
4000669940000000910,163,4000669940000000747,QHOT
4000669940000000912,409,4000669940000000503,QHOT
4000669940000000914,167,4000669940000000747,QHOT
4000669940000000916,1229,4000669939999999687,QHOT
4000669940000000918,1231,4000669939999999687,QHOT
4000669940000000920,173,4000669940000000747,QHOT
4000669940000000922,419,4000669940000000503,QHOT
4000669940000000924,1423,4000669939999999501,QHOT
4000669940000000926,179,4000669940000000747,QHOT
4000669940000000928,181,4000669940000000747,QHOT
4000669940000000930,1429,4000669939999999501,QHOT
4000669940000000932,1013,4000669939999999919,QHOT
4000669940000000934,1433,4000669939999999501,QHOT
4000669940000000936,433,4000669940000000503,QHOT
4000669940000000938,191,4000669940000000747,QHOT
4000669940000000940,193,4000669940000000747,QHOT
4000669940000000942,439,4000669940000000503,QHOT
4000669940000000944,197,4000669940000000747,QHOT
4000669940000000946,199,4000669940000000747,QHOT
4000669940000000948,1447,4000669939999999501,QHOT
4000669940000000950,1433,4000669939999999517,QHOT
4000669940000000952,1451,4000669939999999501,QHOT
4000669940000000954,1453,4000669939999999501,QHOT
4000669940000000956,1439,4000669939999999517,QHOT
4000669940000000958,211,4000669940000000747,QHOT
4000669940000000960,1459,4000669939999999501,QHOT
4000669940000000962,1109,4000669939999999853,QHOT
4000669940000000964,461,4000669940000000503,QHOT
4000669940000000966,463,4000669940000000503,QHOT
4000669940000000968,1451,4000669939999999517,QHOT
4000669940000000970,223,4000669940000000747,QHOT
4000669940000000972,1471,4000669939999999501,QHOT
4000669940000000974,227,4000669940000000747,QHOT
4000669940000000976,229,4000669940000000747,QHOT
4000669940000000978,1291,4000669939999999687,QHOT
4000669940000000980,233,4000669940000000747,QHOT
4000669940000000982,1481,4000669939999999501,QHOT
4000669940000000984,1483,4000669939999999501,QHOT
4000669940000000986,239,4000669940000000747,QHOT
4000669940000000988,241,4000669940000000747,QHOT
4000669940000000990,1489,4000669939999999501,QHOT
4000669940000000992,911,4000669940000000081,QHOT
4000669940000000994,1493,4000669939999999501,QHOT
4000669940000000996,73,4000669940000000923,SIEVE
4000669940000000998,251,4000669940000000747,QHOT
4000669940000001000,1499,4000669939999999501,QHOT
4000669940000001002,79,4000669940000000923,QHOT
4000669940000001004,257,4000669940000000747,QHOT
4000669940000001006,83,4000669940000000923,QHOT
4000669940000001008,1321,4000669939999999687,QHOT
4000669940000001010,263,4000669940000000747,QHOT
4000669940000001012,89,4000669940000000923,QHOT
4000669940000001014,1327,4000669939999999687,QHOT
4000669940000001016,269,4000669940000000747,QHOT
4000669940000001018,271,4000669940000000747,QHOT
4000669940000001020,97,4000669940000000923,QHOT
